Module                  Size  Used by
snd_hda_core          147456  11 snd_hda_codec_generic,snd_hda_codec_conexant,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
intel_rapl_common      53248  1 intel_rapl_msr
snd_hwdep              20480  1 snd_hda_codec
intel_tcc_cooling      12288  0
snd_pcm               192512  14 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_sof_pci_intel_skl,snd_pcm_dmaengine
iwlmvm                909312  0
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
mei_hdcp               28672  0
mei_pxp                16384  0
snd_seq_midi           24576  0
coretemp               24576  0
polyval_clmulni        12288  0
snd_seq_midi_event     16384  1 snd_seq_midi
snd_rawmidi            57344  1 snd_seq_midi
i915                 4702208  22
polyval_generic        12288  1 polyval_clmulni
mac80211             1814528  1 iwlmvm
uvcvideo              143360  0
videobuf2_vmalloc      20480  1 uvcvideo
ghash_clmulni_intel    16384  0
libarc4                12288  1 mac80211
sha256_ssse3           32768  0
sha1_ssse3             32768  0
uvc                    12288  1 uvcvideo
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
videobuf2_memops       16384  1 videobuf2_vmalloc
aesni_intel           122880  4
btusb                  73728  0
btrtl                  32768  1 btusb
hp_wmi                 36864  0
videobuf2_v4l2         36864  1 uvcvideo
btintel                69632  1 btusb
crypto_simd            16384  1 aesni_intel
binfmt_misc            24576  1
drm_buddy              24576  1 i915
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
ttm                   118784  1 i915
sparse_keymap          12288  1 hp_wmi
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
btbcm                  24576  1 btusb
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
iwlwifi               659456  1 iwlmvm
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
rapl                   20480  0
i2c_i801               36864  0
intel_cstate           20480  0
videodev              360448  2 videobuf2_v4l2,uvcvideo
drm_display_helper    278528  1 i915
btmtk                  36864  1 btusb
i2c_smbus              20480  1 i2c_i801
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
intel_wmi_thunderbolt    16384  0
platform_profile       20480  1 hp_wmi
cfg80211             1437696  3 iwlmvm,iwlwifi,mac80211
snd                   143360  19 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_hda_codec_conexant,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
i2c_mux                16384  1 i2c_i801
wmi_bmof               12288  0
bluetooth            1011712  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
soundcore              16384  2 snd_ctl_led,snd
nls_iso8859_1          12288  1
cec                    94208  2 drm_display_helper,i915
mei_me                 53248  2
rc_core                73728  1 cec
i2c_algo_bit           16384  1 i915
intel_xhci_usb_role_switch    12288  0
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
intel_pch_thermal      20480  0
intel_pmc_core        122880  0
hp_accel               28672  0
lis3lv02d              32768  1 hp_accel
pmt_telemetry          16384  1 intel_pmc_core
pmt_class              16384  1 pmt_telemetry
tpm_infineon           16384  0
intel_vsec             20480  1 intel_pmc_core
acpi_pad              184320  0
wireless_hotkey        12288  0
joydev                 32768  0
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
rtsx_pci_sdmmc         36864  0
psmouse               217088  0
e1000e                356352  0
ahci                   49152  2
intel_lpss_pci         28672  0
intel_lpss             12288  1 intel_lpss_pci
video                  77824  1 i915
libahci                53248  1 ahci
rtsx_pci              143360  1 rtsx_pci_sdmmc
idma64                 20480  0
wmi                    28672  4 hp_wmi,video,intel_wmi_thunderbolt,wmi_bmof
pinctrl_sunrisepoint    28672  0
